年份,子赛事,学校,队伍名称,OS,查重分支,终选repo,初赛fork版,初赛fork版访问情况,源地址,源地址访问情况,决赛fork版,决赛fork版访问情况,备注
2021,内核实现赛道,北京大学,电脑配件队,XV6-CPP,master,,,空,https://gitlab.eduxiji.net/ckf104/test_commit,可访问,,空,
2021,内核实现赛道,北京大学,no stay up late,xv6-k210_nostayuplate,ver1.4,,,空,https://gitlab.eduxiji.net/AaronWu/oskernel2021-x,可访问,,空,
2021,内核实现赛道,北京工商大学,ATOM,Quark,master,,,空,https://gitlab.eduxiji.net/chenzhiy/atom,可访问,,空,
2021,内核实现赛道,北京航空航天大学,SOS,BUAA-SOS,master,,,空,https://gitlab.eduxiji.net/18373688/sos,可访问,,空,
2021,内核实现赛道,北京航空航天大学,^^^TOO_LOW^^^,mos_riscv,master,,,空,https://gitlab.eduxiji.net/buaawyk2/oskernel2021-too_low,可访问,,空,
2021,内核实现赛道,北京交通大学,pagefault,pagefaultos,master,,,空,https://gitlab.eduxiji.net/pagefault/oskernel2021-pagefaultos,可访问,,空,
2021,内核实现赛道,东北大学,0x80200000,SysCore,main,,,空,https://gitlab.eduxiji.net/iPear/syscore,可访问,,空,
2021,内核实现赛道,国防科技大学,小白闯江湖队,xv6-k210_小白闯江湖,master,,,空,https://gitlab.eduxiji.net/Misure/oskernel2021-x2,可访问,,空,
2021,内核实现赛道,哈尔滨工业大学（深圳）,UltraOS,UltraOS,master,,,空,https://gitlab.eduxiji.net/ultrateam/ultraos,可访问,,空,
2021,内核实现赛道,哈尔滨工业大学（深圳）,"啊普鲁派哒哒哒哒哒""; DROP DATABASE teams;",OSHIT,submission_repo,,,空,https://gitlab.eduxiji.net/willson0v0/oscomp_handin,可访问,,空,
2021,内核实现赛道,华中科技大学,3Los,xv6-k210,main,,,空,https://github.com/HUST-OS/xv6-k210 ,可访问,,空,
